242_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(Br)=C3O1)C5=C(C=CC=C5)C=C2Br
246_vi,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC([Si](C5=CC=C(C(C)(C)C)C=C5)(C6=CC=C(C(C)(C)C)C=C6)C7=CC=C(C(C)(C)C)C=C7)=C3O1)C8=C(C=CC=C8)C=C2[Si](C9=CC=C(C(C)(C)C)C=C9)(C%10=CC=C(C(C)(C)C)C=C%10)C%11=CC=C(C(C)(C)C)C=C%11
76_vi,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC=C(C6CCCCC6)C=C5)=C3O1)C7=C(C=CC=C7)C=C2C8=CC=C(C9CCCCC9)C=C8
72_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC(C6=CC(C=CC=C7)=C7C=C6)=CC=C5)=C3O1)C8=C(C=CC=C8)C=C2C9=CC=CC(C%10=CC=C(C=CC=C%11)C%11=C%10)=C9
249_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC=C(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C=C5)=C3O1)C7=C(C=CC=C7)C=C2C8=CC=C(C9=CC(C(F)(F)F)=CC(C(F)(F)F)=C9)C=C8
365_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC(COC)=CC=C5)=C3O1)C6=C(C=CC=C6)C=C2C7=CC=CC(COC)=C7
157_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC(C)=C(OC(C)C)C(C)=C5)=C3O1)C6=C(C=CC=C6)C=C2C7=CC(C)=C(OC(C)C)C(C)=C7
251_vi,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC(C6=C(C)C=C(C)C=C6C)=CC(C7=C(C)C=C(C)C=C7C)=C5)=C3O1)C8=C(C=CC=C8)C=C2C9=CC(C%10=C(C)C=C(C)C=C%10C)=CC(C%11=C(C)C=C(C)C=C%11C)=C9
207_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(CC5=C(C=CC=C6)C6=CC7=C5C=CC=C7)=C3O1)C8=C(C=CC=C8)C=C2CC9=C(C=CC=C%10)C%10=CC%11=C9C=CC=C%11
253_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=C(C(C)C)C=C(C6=CC=C(C(C)(C)C)C=C6)C=C5C(C)C)=C3O1)C7=C(C=CC=C7)C=C2C8=C(C(C)C)C=C(C9=CC=C(C(C)(C)C)C=C9)C=C8C(C)C
286_vi,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=C(Cl)C=C(Cl)C=C5Cl)=C3O1)C6=C(C=CC=C6)C=C2C7=C(Cl)C=C(Cl)C=C7Cl
276_i,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC(C5=C(C=CC=C6)C6=C(C7=CC(C=CC=C8)=C8C=C7)C9=C5C=CC=C9)=C3O1)C%10=C(C=CC=C%10)C=C2C%11=C(C=CC=C%12)C%12=C(C%13=CC=C(C=CC=C%14)C%14=C%13)C%15=C%11C=CC=C%15
